Store Name: FRIENDLY FOOD MART
Store Address: 1725 BUTLER STREET
Store Phone: 610-252-9370

Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,080692950098,SPORTSMAN GLOVES,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,080692950357,SPORTSMAN GLOVES,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,027414990031,STAR TEK ANDROID CABLE 3 FEET,-3,4.99,1,General Marchandise,General Marchandise,EACH
Standard,053722702066,MAGNA RECT,0,9.99,1,HBA,HBA,EACH
Standard,700598109412,1 OZ. VIETNAM,-44,7.99,1,General Marchandise,General Marchandise,EACH
Standard,636391350990,BOGO 400VV,0,16.99,1,General Marchandise,General Marchandise,EACH
Standard,012044342404,OLD SPICE DEODORANT,-3,3.99,1,General Marchandise,General Marchandise,EACH
Standard,037000124429,SECRET POWDER,-3,2.99,1,General Marchandise,General Marchandise,EACH
Standard,072350020533,SMALL YOHOO,-69,1.99,1,COOLER,MILK,EACH
Standard,704982351012,WICKED SOUR,0,1.39,1,DRINKS,DRINKS,EACH
Standard,048500007990,TROPICANA TWISTER OR,0,1.89,1,DRINKS,DRINKS,EACH
Standard,048500001745,TROPICANA ORANGE JUI,0,1.09,1,DRINKS,DRINKS,EACH
Standard,052000044218,BOLT 24,-13,2.00,1,COOLER,DRINKS,EACH
Standard,076737122544,EVERFRESH KIWI STRAWBERRY,-4,1.89,1,DRINKS,DRINKS,EACH
Standard,858176002324,BODYARMOR FRUIT PUNCH,-13,2.89,1,DRINKS,DRINKS,EACH
Standard,052000044201,BOLT 24 MANGO,-8,2.00,1,COOLER,DRINKS,EACH
Standard,052000044225,BOLT 24 WATERMELON,-20,2.00,1,COOLER,DRINKS,EACH
Standard,012003071451,DOLE APPLE JUICE,0,1.99,1,DRINKS,DRINKS,EACH
Standard,757528005276,TAKIS FUEGO,-28,1.00,1,Snacks,Snacks,EACH
Standard,070271003949,H.K PRETZEL,0,2.59,1,Snacks,Snacks,EACH
Standard,022000010322,ECLIPSE BREEZE,0,0.00,1,CANDY,CANDY,EACH
Standard,022000010339,ECLIPSE BREEZE BERRY,0,0.00,1,CANDY,CANDY,EACH
Standard,022000118042,HUBBA BUBBA OUCH BUB,0,0.00,1,CANDY,CANDY,EACH
Standard,022000011541,ORBIT BIG SWEET MINT,0,0.00,1,CANDY,CANDY,EACH
Standard,022000011206,ORBIT PINA COLADA,0,0.00,1,CANDY,CANDY,EACH
Standard,022000115560,ORBIT SPEARMINT SPRI,0,1.69,1,CANDY,CANDY,EACH
Standard,041420021473,SATHERS JELLY BEANS,0,1.29,12,CANDY,CANDY,EACH
Standard,041420013119,SATHERS BLUE SHARKS,0,1.29,12,CANDY,CANDY,EACH
Standard,012546600026,TRIDENT LAYER STRAWB,0,1.79,1,CANDY,CANDY,EACH
Standard,041116005282,PUSH POP SLIDERZ,0,1.89,1,CANDY,CANDY,EACH
Standard,022000011275,LIFESEVE TENG,0,1.59,1,CANDY,CANDY,EACH
Standard,022000010803,LIFESEV 5FLVR,0,1.59,1,CANDY,CANDY,EACH
Standard,022000010759,LIFE SEV SWT,0,1.59,1,CANDY,CANDY,EACH
Standard,022000010766,LIFESEVSOUR,0,1.59,1,CANDY,CANDY,EACH
Standard,028000822262,LAFFY TAFFY,0,1.59,1,CANDY,CANDY,EACH
Standard,028000688776,LAFE TAFY,0,1.59,1,CANDY,CANDY,EACH
Standard,028000652265,LAFY TAFY,0,1.59,1,CANDY,CANDY,EACH
Standard,028000206307,NESTLE 100 GRAND 1.5,0,1.59,1,CANDY,CANDY,EACH
Standard,012546300261,DENTYNE ICE SPEARMIN,0,1.89,1,CANDY,CANDY,EACH
Standard,012546300216,DENTYNE ICE PEPPERMI,0,1.89,1,CANDY,CANDY,EACH
Standard,072799035136,MAMBA,-6,1.59,1,CANDY,CANDY,EACH
Standard,012546917698,BUBBLICIOUS GOZO GRA,-3,1.29,1,CANDY,CANDY,EACH
Standard,070970000324,MIKE AND IKE ORIGINA,-12,1.59,1,CANDY,CANDY,EACH
Standard,041364080512,SOUR PUCH STRAWS 2 O,-8,1.59,1,CANDY,CANDY,EACH
Standard,014200533107,SUGAR BABIES,-5,1.59,24,CANDY,CANDY,EACH
Standard,028000087005,BIT O HONEY,0,0.00,1,CANDY,CANDY,EACH
Standard,073390000165,MENTOS MEXED FRUIT,-7,1.19,1,CANDY,CANDY,EACH
Standard,012546915120,BUBBLICIOUS T WISTED,0,0.00,1,CANDY,CANDY,EACH
Standard,012546917568,BUBBLICIOUS STRABERR,-4,1.49,1,CANDY,CANDY,EACH
Standard,041396000977,CANDY CIGARETTES,-43,0.50,1,CANDY,CANDY,EACH
Standard,071720009314,TOOTSIE ROLL STICK,-4,1.39,1,CANDY,CANDY,EACH
Standard,028000010775,NESTLE BABYRUTH,-9,1.69,1,CANDY,CANDY,EACH
Standard,010700807229,PAYDAY PEANUT CARMEL,-21,1.39,1,CANDY,CANDY,EACH
Standard,059280000200,ALTOIDS PERPERMINTS,0,0.00,1,CANDY,CANDY,EACH
Standard,028000011598,NESTLE BUTTERFINGER,0,1.09,1,CANDY,CANDY,EACH
Standard,028000150884,NESTLE CRUNCH WHITE,0,0.00,1,CANDY,CANDY,EACH
Standard,012546711500,CERTS PEPPERMINT,0,1.49,1,CANDY,CANDY,EACH
Standard,010700008282,ZAGNUT CRUNCHY PEANU,0,1.39,1,CANDY,CANDY,EACH
Standard,041364087030,SOUR PUNCH BITS L/LI,0,1.49,1,CANDY,CANDY,EACH
Standard,010700519528,JR FRUIT CHEWS,-47,1.59,12,CANDY,CANDY,EACH
Standard,028000333454,NESTLE 100 GRAND BAR,0,1.49,1,CANDY,CANDY,EACH
Standard,028000407957,NESTLE BABYRUTH CAND,0,1.49,1,CANDY,CANDY,EACH
Standard,028000223991,NESTLE BUTTERFINGER,0,1.49,1,CANDY,CANDY,EACH
Standard,028000211448,NESTLE CRUNCH BAR,0,1.49,1,CANDY,CANDY,EACH
Standard,660973125447,AWESOME BABY BOTTLE,0,1.49,1,CANDY,CANDY,EACH
Standard,660973119804,WII REMOTE CANDY,0,0.00,1,CANDY,CANDY,EACH
Standard,034000531042,TWIZZLERS KING SIZE,0,2.69,1,CANDY,CANDY,EACH
Standard,660973126406,BETTY BOOP CANDY LIP,0,1.49,1,CANDY,CANDY,EACH
Standard,012546682022,STRIDE BERRY MINT GU,0,0.00,1,CANDY,CANDY,EACH
Standard,012546682077,STRIDE CITRUS MINT G,0,0.00,1,CANDY,CANDY,EACH
Standard,040000402657,M&M-S PRETZEL,0,1.49,1,CANDY,CANDY,EACH
Standard,034000490455,REESE-S WHIPPS,0,1.99,1,CANDY,CANDY,EACH
Standard,872181005019,DEMET-S TURTLES ORIG,0,1.99,1,CANDY,CANDY,EACH
Standard,034000196067,HERSHEY-S COOKIES-N-,0,1.99,1,CANDY,CANDY,EACH
Standard,034000430956,REESE-S BIG CUP,-46,2.69,16,CANDY,KING SIZE CANDY,EACH
Standard,012546674737,TRIDENT EXTRA CARE S,0,0.00,1,CANDY,CANDY,EACH
Standard,012546600088,TRIDENT LAYERS GREEN,0,1.69,1,CANDY,CANDY,EACH
Standard,022000011602,EXTRA FRUIT SEN SWEE,0,0.00,1,CANDY,CANDY,EACH
Standard,012546918336,BUBBLICIOUS BURSTS M,0,0.00,1,CANDY,CANDY,EACH
Standard,022000011664,ORBIT MIST RASPBERRR,0,0.00,1,CANDY,CANDY,EACH
Standard,022000159342,ALTOIDS WINTERGREEN,-10,2.99,1,CANDY,CANDY,EACH
Standard,012546308014,DENTYNE PURE HERBAL,0,1.69,1,CANDY,CANDY,EACH
Standard,012546308052,DENTYNE PURE MELON M,0,1.69,1,CANDY,CANDY,EACH
Standard,818094007016,ROCKSTAR ENERGY GUM,0,0.00,1,CANDY,CANDY,EACH
Standard,034000470228,REESES MINI  CUP KIN,0,1.99,1,CANDY,CANDY,EACH
Standard,034000271122,HERSHEYS DROPS KING,0,1.99,1,CANDY,CANDY,EACH
Standard,022000115638,EXTRA DESSERT DELIGH,0,1.79,1,CANDY,CANDY,EACH
Standard,022000011794,ORBIT TROPICAL REMIX,0,1.69,1,CANDY,CANDY,EACH
Standard,022000116024,5 PRISM WATERMELON G,-1,1.89,1,CANDY,CANDY,EACH
Standard,041116005954,BOTTLE POP,-8,1.99,1,CANDY,CANDY,EACH
Standard,012546617543,TRIDENT WHITE WINTER,0,0.00,1,CANDY,CANDY,EACH
Standard,012546320276,DENTYNE FIRE 12PC,0,0.00,1,CANDY,CANDY,EACH
Standard,079200350260,FUN DIP,0,1.09,1,CANDY,CANDY,EACH
Standard,070462542509,SWEDISH FISH,-33,1.49,1,CANDY,CANDY,EACH
Standard,041364080581,SOUR PUNCH STRAWS CH,-2,1.49,1,CANDY,CANDY,EACH
Standard,041364080536,SOUR PUNCH STRAWS ST,-6,1.39,1,CANDY,CANDY,EACH
Standard,041364080529,SOUR PUNCH STRAWS  A,0,0.00,1,CANDY,CANDY,EACH
Standard,041364080499,SOUR PUNCH STRAWS  W,-10,1.09,1,CANDY,CANDY,EACH
Standard,019000082510,LIFE SAVER GUMMIES W,0,0.00,1,CANDY,CANDY,EACH
Standard,010700060808,HEALTH MILK CHOCOLAT,0,1.39,1,CANDY,CANDY,EACH
Standard,073390026349,MENTOS STRAWBERRY,0,1.19,1,CANDY,CANDY,EACH
Standard,012546612296,TRIDENT ORIGINAL FLA,0,1.69,1,CANDY,CANDY,EACH
Standard,012546300094,DENTYNE ICE WINTERGR,0,0.00,1,CANDY,CANDY,EACH
Standard,028000080006,NESTLE RAISINETS MIL,0,1.39,1,CANDY,CANDY,EACH
Standard,012546615563,TRIDENTBUBBLE GUM SU,0,1.69,1,CANDY,CANDY,EACH
Standard,012546615310,TRIDENT SPEARMINT,0,1.69,1,CANDY,CANDY,EACH
Standard,012546715508,CERTS WINTERGREEN,0,1.49,1,CANDY,CANDY,EACH
Standard,073390000141,MENTOS CINNAMON FRES,0,1.39,1,CANDY,CANDY,EACH
Standard,093922000609,HARD N FRUIT NOW AND,0,0.00,1,CANDY,CANDY,EACH
Standard,041116005190,RING POP,-29,0.99,1,CANDY,CANDY,EACH
Standard,093922000623,NOW & LATER RADBERRY,0,0.00,1,CANDY,CANDY,EACH
Standard,070970000270,HOTTAMAELS CINNAMON,-12,1.49,1,CANDY,CANDY,EACH
Standard,093922000593,NOW & LATER,0,0.00,1,CANDY,CANDY,EACH
Standard,012546917582,BUBBLICIOUS WATERMEL,0,1.09,1,CANDY,CANDY,EACH
Standard,022110079806,BUBBLE TAPE,-14,1.79,1,CANDY,CANDY,EACH
Standard,073390002206,AIR HEADS BLUE RASBE,0,0.30,1,CANDY,CANDY,EACH
Standard,073390002077,AIR HEADS GREEN APPL,0,0.00,1,CANDY,CANDY,EACH
Standard,073390002022,AIR HEADS ORANGE,-37,0.30,1,CANDY,CANDY,EACH
Standard,073390002015,AIR HEADS  CHERRY,0,0.30,1,CANDY,CANDY,EACH
Standard,073390002213,AIR HEADS  WHITE MYS,0,0.30,1,CANDY,CANDY,EACH
Standard,073390002053,AIR HEADS STRWBERRY,-79,0.30,36,CANDY,CANDY,EACH
Standard,073390002039,AIR HEADS WATERMELON,0,0.30,1,CANDY,CANDY,EACH
Standard,028000814229,LAFFY TAFFY ROPE STR,0,0.00,1,CANDY,CANDY,EACH
Standard,041420003257,CHERRY HEAD,0,1.49,1,CANDY,CANDY,EACH
Standard,028000131708,NESTLE CRUNCH,-17,1.39,1,CANDY,CANDY,EACH
Standard,028000220181,LAFFY TAFFY BANANA,0,0.00,1,CANDY,CANDY,EACH
Standard,012546915526,BUBBLICIOUS SOUR GRA,0,1.49,1,CANDY,CANDY,EACH
Standard,010700023858,WHOPPERS,0,1.09,1,CANDY,CANDY,EACH
Standard,028000001421,BUTTER FINGER KING,0,1.99,1,CANDY,CANDY,EACH
Standard,028000001414,BABY RUTH KING,0,1.99,1,CANDY,CANDY,EACH
Standard,028000173104,NESTLE CRUNCH KING,0,1.99,1,CANDY,CANDY,EACH
Standard,009800123018,FERRERO ROCHER KING,-8,1.99,12,CANDY,CANDY,EACH
Standard,079200231002,RUNTS,0,0.00,1,CANDY,CANDY,EACH
Standard,010700028082,MILK DUDS 1.85Z,0,0.00,1,CANDY,CANDY,EACH
Standard,071720530153,JUNIOR MINTS 1.84Z,-9,1.39,1,CANDY,CANDY,EACH
Standard,028000081003,GOOBERS,0,1.09,1,CANDY,CANDY,EACH
Standard,034000376001,ROLO 5.3Z,0,0.00,1,CANDY,CANDY,EACH
Standard,034000446001,REESES MINI CUPS 5.3,-14,3.49,12,CANDY,Hanging ,EACH
Standard,019000085047,LIFE SAVERS WINTO 6.,-9,2.99,12,CANDY,Hanging ,EACH
Standard,012546300599,DENTYNE ICE ARCTIC C,0,0.00,1,CANDY,CANDY,EACH
Standard,012546617567,TRIDENT WHITE,0,0.00,1,CANDY,CANDY,EACH
Standard,012546617581,TRIDENT WHITE COOL R,0,0.00,1,CANDY,CANDY,EACH
Standard,012546713603,CERTS MIX,0,1.49,1,CANDY,CANDY,EACH
Standard,022110050201,BIG LEAGUE CHEW,0,0.00,1,CANDY,CANDY,EACH
Standard,041116005343,TOPPS PUSH POP FRUIT,-17,1.09,1,CANDY,CANDY,EACH
Standard,022000002785,HUBBA BUBBA TANGY TR,0,0.00,1,CANDY,CANDY,EACH
Standard,041116005923,JUICY DROP POP,-57,1.99,1,CANDY,CANDY,EACH
Standard,012546619592,TRIDENT TROPICAL TWI,0,1.69,1,CANDY,CANDY,EACH
Standard,034000212101,HERSHEY-S ASSORTED M,-12,2.99,12,CANDY,CANDY,EACH
Standard,012546671231,TRIDENTSPLASH,0,0.00,1,CANDY,CANDY,EACH
Standard,012546302814,DENTYNE ICE,0,0.00,1,CANDY,CANDY,EACH
Standard,012546671279,TRIDENT SPALASH,0,0.00,1,CANDY,CANDY,EACH
Standard,041623803395,RAIN-BLO 1O BUBBLE G,0,0.00,1,CANDY,CANDY,EACH
Standard,012546684019,STRIDE KINETIC MINT,0,1.99,1,CANDY,CANDY,EACH
Standard,012546684095,STRIDE SPARK KINETIC,0,0.00,1,CANDY,CANDY,EACH
Standard,012546670425,TRIDENT VITALITY REJ,0,0.00,1,CANDY,CANDY,EACH
Standard,012546670463,TRIDENT VITALITY VIG,0,0.00,1,CANDY,CANDY,EACH
Standard,012546670388,TRIDENT VITALITY AWA,0,0.00,1,CANDY,CANDY,EACH
Standard,079200131166,SWEET TARTS,-2,1.09,1,CANDY,CANDY,EACH
Standard,028000259105,BUTER FINGER CRISPY,0,0.00,1,CANDY,CANDY,EACH
Standard,010700804273,ZERO KING SIZE,0,1.99,1,CANDY,CANDY,EACH
Standard,028000206604,100 GRAND KING SIZE,0,1.99,1,CANDY,CANDY,EACH
Standard,010700807274,PAYDAY KING SIZE,0,2.69,1,CANDY,CANDY,EACH
Standard,012546917025,BUBBLICIOUS PARADISE,0,1.09,1,CANDY,CANDY,EACH
Standard,012546712507,CERTS SPEARMINT,0,1.49,1,CANDY,CANDY,EACH
Standard,012546712729,CERTSCINNAMON,0,1.49,1,CANDY,CANDY,EACH
Standard,012546303118,MINT A BRUST GUM,0,0.00,1,CANDY,CANDY,EACH
Standard,073390014315,AIR HEADS 6 BARS,0,1.49,1,CANDY,CANDY,EACH
Standard,079200142360,LAFFY TAFFY WATERMEL,0,0.00,1,CANDY,CANDY,EACH
Standard,079200144364,LAFFY TAFFY GRAPE,0,0.00,1,CANDY,CANDY,EACH
Standard,073390001537,MENTOS  MINT,0,1.19,1,CANDY,CANDY,EACH
Standard,019000083944,CREAM SAVERS ORANGE,0,0.00,1,CANDY,CANDY,EACH
Standard,019000083425,LIFESAVER GUMMIES 5,-9,2.99,12,CANDY,Hanging ,EACH
Standard,027509208645,SNACK STOP MALT BALL,0,0.00,1,CANDY,CANDY,EACH
Standard,041396001080,WINGS CANDY STICK,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025260,FRENCH BRUNT PEANUTS,0,0.00,1,CANDY,CANDY,EACH
Standard,041420003110,RED HOTS,0,1.49,1,CANDY,CANDY,EACH
Standard,010700804228,ZERO,0,1.39,1,CANDY,CANDY,EACH
Standard,079200173067,NERDS ROPE,0,1.09,1,CANDY,CANDY,EACH
Standard,014200532100,SUGAR DADDY,-3,1.19,1,CANDY,CANDY,EACH
Standard,012546915021,BUBBLICIOUS COTTON C,0,1.09,1,CANDY,CANDY,EACH
Standard,022110079318,BUBBLE TAPE SOUR APP,0,0.00,1,CANDY,CANDY,EACH
Standard,041168006404,CHICK O STICK,0,0.00,1,CANDY,CANDY,EACH
Standard,079200662356,NERDS GUMMY BALLS,0,0.00,1,CANDY,CANDY,EACH
Standard,022110052816,BIG LEAGUE CHEW SOUR,0,0.00,1,CANDY,CANDY,EACH
Standard,079200230500,GOBSTOPPER CHEWY,0,0.00,1,CANDY,CANDY,EACH
Standard,040000140931,SKITTLES SOUR,-10,2.99,12,CANDY,Hanging ,EACH
Standard,020709002532,TROLLI PEACHIE - OS,-1,2.59,12,CANDY,Hanging ,EACH
Standard,028000218218,WONKA LAFFY TAFFY CH,0,0.00,1,CANDY,CANDY,EACH
Standard,012546302937,NEW DENTYNE ICE MINT,0,0.00,1,CANDY,CANDY,EACH
Standard,028000251208,NESTLE TURTLES MILK,0,0.00,1,CANDY,CANDY,EACH
Standard,012546915342,BUBBLICIOUS BLUE BLO,0,1.09,1,CANDY,CANDY,EACH
Standard,041623015019,FRUITSTRIPE 5 JUICE,0,0.00,1,CANDY,CANDY,EACH
Standard,012546915830,BUBBLICIOUS LEMONADE,0,0.00,1,CANDY,CANDY,EACH
Standard,012546918428,BUBBLICIOUS BRUSTS B,0,0.00,1,CANDY,CANDY,EACH
Standard,019000082503,LIFESAVORS GUMMIES 5,0,0.00,1,CANDY,CANDY,EACH
Standard,012546680028,STRIDE WINTERBLUE,0,1.69,1,CANDY,CANDY,EACH
Standard,012546671316,TRIDENT WHITE COOL C,0,0.00,1,CANDY,CANDY,EACH
Standard,022000159359,ALTOIDS CINNAMON 1.7,0,2.19,1,CANDY,CANDY,EACH
Standard,012546913218,BUBBLICIOUS SOUR FRA,0,0.00,1,CANDY,CANDY,EACH
Standard,012546672016,TRIDENT SPLASH APPLE,0,0.00,1,CANDY,CANDY,EACH
Standard,012546680042,STRIDE SPEARMINT,0,1.69,1,CANDY,CANDY,EACH
Standard,012546671576,TRIDENT WHITE COOL B,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025765,MAYFAIR SALT WATWR T,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025680,MAYFAIR PIXY STIX,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025871,MAYFAIR SWEETARTS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025383,MAYFAIR SOUR NEON WO,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025376,MAYFAIR SOUR GUMMI B,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025437,MAYFAIR HOT TAMALES,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025413,MAYFAIR GUMMI WORMS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025321,MAYFAIR GUMMI SHARKS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025772,MAYFAIR SMARTIES,0,0.00,1,CANDY,CANDY,EACH
Standard,023637451816,MAYFAIR CANDY STICKS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025093,MAYFAIR CANDY CORN,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025451,MAYFAIR JELLY BEANS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025109,MAYFAIR CANDY LIPSTI,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025277,MAYFAIR FRUIT RUNTS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025116,MAYFAIR CANDY NECKLA,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025604,MAYFAIR PARTY MINTS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025161,MAYFAIR CHERRY SOURS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025369,MAYFAIR PEACH RINGS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025499,MAYFAIR KIDS PLAY,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025208,MAYFAIR CINNAMON IMP,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025918,MAYFAIR VANNILA CARA,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025307,MAYFAIR APPLE RINGS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025222,MAYFAIR COCONUT HAY,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025048,MAYFAIR BIT O HONEY,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025154,MAYFAIR CHERRY SLICE,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025505,MAYFAIR LEMON DROPS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025598,MAYFAIR ORANGE SLICE,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025178,MAYFAIR CHOCO RAISIN,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025611,MAYFAIR CHICK O STIC,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025123,MAYFAIR CARMEL CRM,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025888,MAYFAIR TOOSTIE ROLL,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025741,MAYFAIR SF BUTTONS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637451793,MAYFAIR SOFT MINT PU,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025079,MAYFAIR BUTTERSCOTCH,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025062,MAYFAIR BOSTON BAKED,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025253,MAYFAIR DUM DUM POPS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025215,MAYFAIR CIRCUS PENUT,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025727,MAYFAIR RED TWISTS,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025284,MAYFAIR FRUITS SLICE,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025543,MAYFAIR MALTED MILK,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025246,MAYFAIR DUBBLE BUBBL,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025055,MAYFAIR LICORICE TWI,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025024,MAYFAIR ATOMIC FIREB,0,0.00,1,CANDY,CANDY,EACH
Standard,023637025192,MAYFAIR CINNAMON DIS,0,0.00,1,CANDY,CANDY,EACH
Standard,022110050218,BIG LEAGUE CHEW BUBB,0,1.79,1,CANDY,CANDY,EACH
Standard,079200136284,SWEETARTS GUMMY BUGS,0,0.00,1,CANDY,CANDY,EACH
Standard,073390005214,MENTOS SOURS CHEW MI,0,0.00,1,CANDY,CANDY,EACH
Standard,022110058504,HUBBA BUBBA OUCHI BU,0,0.00,1,CANDY,CANDY,EACH
Standard,012546615952,TRIDENT  WATERMELON,0,1.69,1,CANDY,CANDY,EACH
Standard,010700808226,PAYDAY  AVALANCHE,0,0.00,1,CANDY,CANDY,EACH
Standard,028000492366,CRUNCH    CARAMEL,0,1.99,1,CANDY,CANDY,EACH
Standard,041420003585,APPLEHEAD,0,1.49,1,CANDY,CANDY,EACH
Standard,041420003523,RED  HOTS,0,1.49,1,CANDY,CANDY,EACH
Standard,079200145361,WONKA LAFFY TAFFY JE,0,0.00,1,CANDY,CANDY,EACH
Standard,012546680196,STRIDE SWEET PEPPERM,0,1.69,1,CANDY,CANDY,EACH
